ICSD Code,Formula,Chemical Formula,Space Group,Validation Status,Measurement Conditions,Compound Class,Year,Journal,GII,Failure Mode,Disorder Type
8673,Br1 K1,Br1 K1,F m -3 m,Validated,Ambient,Bromide,2018.0,Luminescence,0.0698,,pure
18015,Br1 K1,Br1 K1,F m -3 m,Validated,Ambient,Bromide,1926.0,Zeitschrift fuer Kristallographie,0.0669,,pure
22157,Br1 K1,Br1 K1,F m -3 m,Validated,Ambient,Bromide,1969.0,"Annales Academiae Scientiarum Fennicae, Series A6: Physica",0.0862,,pure
52243,Br1 K1,Br1 K1,F m -3 m,Validated,Ambient,Bromide,1936.0,"Proceedings of the Physical Society, London",0.0039,,pure
53826,Br1 K1,Br1 K1,F m -3 m,Validated,Ambient,Bromide,1922.0,Journal of the Washington Academy of Sciences,0.064,,pure
53842,Br1 K1,Br1 K1,F m -3 m,Validated,Ambient,Bromide,1921.0,Zeitschrift fuer Physik,0.0683,,pure
187220,Br1 K1,Br1 K1,F m -3 m,Validated,Ambient,Bromide,2012.0,Archives of Physics Research,0.0437,,pure
27982,Br1 Li1,Br1 Li1,F m -3 m,Failed,Ambient,Bromide,1923.0,Physikalische Zeitschrift,0.1657,Type6_Anomaly,pure
52236,Br1 Li1,Br1 Li1,F m -3 m,Failed,Ambient,Bromide,1936.0,"Proceedings of the Physical Society, London",0.1725,Type6_Anomaly,pure
53819,Br1 Li1,Br1 Li1,F m -3 m,Failed,Ambient,Bromide,1922.0,Journal of the Washington Academy of Sciences,0.1657,Type6_Anomaly,pure
18013,Br1 Na1,Br1 Na1,F m -3 m,Validated,Ambient,Bromide,1926.0,Zeitschrift fuer Kristallographie,0.0328,,pure
26910,Br1 Na1,Br1 Na1,F m -3 m,Validated,Ambient,Bromide,,,0.0343,,pure
41440,Br1 Na1,Br1 Na1,F m -3 m,Validated,Ambient,Bromide,1990.0,Physical Review B: Condensed Matter and Materials Physics,0.0189,,pure
52239,Br1 Na1,Br1 Na1,F m -3 m,Validated,Ambient,Bromide,1936.0,"Proceedings of the Physical Society, London",0.0148,,pure
53822,Br1 Na1,Br1 Na1,F m -3 m,Validated,Ambient,Bromide,1922.0,Journal of the Washington Academy of Sciences,0.0356,,pure
61672,Br1 Na1,Br1 Na1,F m -3 m,Validated,Ambient,Bromide,1949.0,Journal of Physical Chemistry,0.0165,,pure
18017,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1926.0,Zeitschrift fuer Kristallographie,0.0426,,pure
22167,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1969.0,"Annales Academiae Scientiarum Fennicae, Series A6: Physica",0.0124,,pure
53830,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1922.0,Journal of the Washington Academy of Sciences,0.0579,,pure
53845,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1921.0,Physical Review,0.0755,,pure
197823,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1961.0,Acta Crystallographica,0.0066,,pure
197945,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1961.0,Acta Crystallographica,0.0091,,pure
199925,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1961.0,Acta Crystallographica,0.0125,,pure
199926,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1961.0,Acta Crystallographica,0.0173,,pure
199927,Br1 Rb1,Br1 Rb1,F m -3 m,Validated,Ambient,Bromide,1961.0,Acta Crystallographica,0.0215,,pure
60281,Ag0.097 Cl1 Na0.903,Ag0.097 Cl1 Na0.903,F m -3 m,Failed,Ambient,Chloride,1970.0,"Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya",0.0886,Type3_Vacancy,homovalent
60282,Ag0.201 Cl1 Na0.799,Ag0.201 Cl1 Na0.799,F m -3 m,Failed,Ambient,Chloride,1970.0,"Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya",0.0824,Type3_Vacancy,homovalent
60283,Ag0.3 Cl1 Na0.7,Ag0.3 Cl1 Na0.7,F m -3 m,Borderline,Ambient,Chloride,1970.0,"Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya",0.075,,homovalent
56538,Ag1 Cl1,Ag1 Cl1,F m -3 m,Validated,Ambient,Chloride,1999.0,Physical Review B: Condensed Matter and Materials Physics,0.0531,,pure
64734,Ag1 Cl1,Ag1 Cl1,F m -3 m,Validated,Ambient,Chloride,1955.0,National Bureau of Standards Circular (U. S.),0.0566,,pure
61663,Br0.1018 Cl0.8982 Na1,Br0.1018 Cl0.8982 Na1,F m -3 m,Failed,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.5187,Type3_Vacancy,pure
187225,Br0.2 Cl0.8 K1,Br0.2 Cl0.8 K1,F m -3 m,Failed,Ambient,Chloride,2012.0,Archives of Physics Research,0.4858,Type3_Vacancy,pure
61664,Br0.2019 Cl0.7981 Na1,Br0.2019 Cl0.7981 Na1,F m -3 m,Failed,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.4464,Type3_Vacancy,pure
61665,Br0.2982 Cl0.7018 Na1,Br0.2982 Cl0.7018 Na1,F m -3 m,Failed,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.3837,Type3_Vacancy,pure
187224,Br0.4 Cl0.6 K1,Br0.4 Cl0.6 K1,F m -3 m,Failed,Ambient,Chloride,2012.0,Archives of Physics Research,0.4425,Type3_Vacancy,pure
22170,Br0.4 Cl0.6 Rb1,Br0.4 Cl0.6 Rb1,F m -3 m,Borderline,Ambient,Chloride,1969.0,"Annales Academiae Scientiarum Fennicae, Series A6: Physica",0.1085,,pure
61666,Br0.4029 Cl0.5971 Na1,Br0.4029 Cl0.5971 Na1,F m -3 m,Failed,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.3172,Type3_Vacancy,pure
61667,Br0.4927 Cl0.5073 Na1,Br0.4927 Cl0.5073 Na1,F m -3 m,Failed,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.2639,Type3_Vacancy,pure
119597,Br0.5 Cl0.5 K1,Br0.5 Cl0.5 K1,F m -3 m,Borderline,Ambient,Chloride,1966.0,Acta Crystallographica,0.11,,pure
