ICSD Code,Formula,Chemical Formula,Space Group,Compound Class,Year,Journal,Elements Present,Missing Parameters
52246,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,,,Ag,Silver halide parameters missing
53850,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,1923.0,Philosophical Magazine ,Ag,Silver halide parameters missing
56546,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,1999.0,Physical Review B: Condensed Matter and Materials Physics,Ag,Silver halide parameters missing
56547,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,1999.0,Physical Review B: Condensed Matter and Materials Physics,Ag,Silver halide parameters missing
56548,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,1999.0,Physical Review B: Condensed Matter and Materials Physics,Ag,Silver halide parameters missing
65061,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,1987.0,Journal of the Physical Society of Japan,Ag,Silver halide parameters missing
65062,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,1987.0,Journal of the Physical Society of Japan,Ag,Silver halide parameters missing
215138,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,2000.0,Solid State Ionics,Ag,Silver halide parameters missing
215139,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,2000.0,Solid State Ionics,Ag,Silver halide parameters missing
215140,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,2000.0,Solid State Ionics,Ag,Silver halide parameters missing
215141,Ag1 Br1,Ag1 Br1,F m -3 m,Bromide,2000.0,Solid State Ionics,Ag,Silver halide parameters missing
56554,Ag1 I1,Ag1 I1,F m -3 m,Iodide,1999.0,Physical Review B: Condensed Matter and Materials Physics,Ag,Silver halide parameters missing
56555,Ag1 I1,Ag1 I1,F m -3 m,Iodide,1999.0,Physical Review B: Condensed Matter and Materials Physics,Ag,Silver halide parameters missing
56556,Ag1 I1,Ag1 I1,F m -3 m,Iodide,1999.0,Physical Review B: Condensed Matter and Materials Physics,Ag,Silver halide parameters missing
61540,Ag1 I1,Ag1 I1,F m -3 m,Iodide,,,Ag,Silver halide parameters missing
61660,Ag1 I1,Ag1 I1,F m -3 m,Iodide,,,Ag,Silver halide parameters missing
61628,O0.89 Ti1,O0.89 Ti1,F m -3 m,Other,1967.0,Monatshefte fuer Chemie,Ti,Early TM oxide parameters missing
24288,O0.995 Ti1,O0.995 Ti1,F m -3 m,Other,1957.0,Acta Chemica Scandinavica ,Ti,Early TM oxide parameters missing
52886,Ce1 O1,Ce1 O1,F m -3 m,Oxide,1979.0,Materials Research Bulletin,Ce,Lanthanide sulfide parameters missing
291915,Ce1 O1,Ce1 O1,F m -3 m,Oxide,1993.0,"Physica B: Condensed Matter (Amsterdam, Netherlands)",Ce,Lanthanide sulfide parameters missing
138705,La1 O1,La1 O1,F m -3 m,Oxide,2021.0,Physical Review Materials,La,Lanthanide sulfide parameters missing
37434,Nb1 O1,Nb1 O1,F m -3 m,Oxide,1957.0,Acta Chemica Scandinavica ,Nb,Early TM oxide parameters missing
61543,Nb1 O1,Nb1 O1,F m -3 m,Oxide,1960.0,Journal of the Less-Common Metals,Nb,Early TM oxide parameters missing
61634,Nb1 O1,Nb1 O1,F m -3 m,Oxide,1967.0,"Metall (Clausthal-Zellerfeld, Germany)",Nb,Early TM oxide parameters missing
76560,Nb1 O1,Nb1 O1,F m -3 m,Oxide,1972.0,Physical Review  B: Solid State,Nb,Early TM oxide parameters missing
77652,O1 Pr1,O1 Pr1,F m -3 m,Oxide,1979.0,Materials Research Bulletin,Pr,Lanthanide sulfide parameters missing
57152,O1 Ti0.91,O1 Ti0.91,F m -3 m,Oxide,1990.0,Acta Chemica Scandinavica,Ti,Early TM oxide parameters missing
38755,O1 Ti1,O1 Ti1,F m -3 m,Oxide,2021.0,Journal of Alloys and Compounds,Ti,Early TM oxide parameters missing
40125,O1 Ti1,O1 Ti1,F m -3 m,Oxide,1974.0,Acta Geologica Sinica (English Edition),Ti,Early TM oxide parameters missing
44324,O1 Ti1,O1 Ti1,F m -3 m,Oxide,1959.0,"Journal of Applied Physics (Melville, NY, United States)",Ti,Early TM oxide parameters missing
56612,O1 Ti1,O1 Ti1,F m -3 m,Oxide,1997.0,Physical Review B: Condensed Matter and Materials Physics,Ti,Early TM oxide parameters missing
76266,O1 Ti1,O1 Ti1,F m -3 m,Oxide,1952.0,Journal of Metals,Ti,Early TM oxide parameters missing
77692,O1 Ti1,O1 Ti1,F m -3 m,Oxide,1984.0,Transactions and Journal of the British Ceramic Society,Ti,Early TM oxide parameters missing
105551,O1 Ti1,O1 Ti1,F m -3 m,Oxide,1972.0,Physical Review  B: Solid State,Ti,Early TM oxide parameters missing
647555,O1 Ti1,O1 Ti1,F m -3 m,Oxide,,,Ti,Early TM oxide parameters missing
647557,O1 Ti1,O1 Ti1,F m -3 m,Oxide,1953.0,Transactions of the American Society for Metals,Ti,Early TM oxide parameters missing
647558,O1 Ti1,O1 Ti1,F m -3 m,Oxide,1953.0,Transactions of the American Society for Metals,Ti,Early TM oxide parameters missing
61627,O1.03 Sc1,O1.03 Sc1,F m -3 m,Oxide,1967.0,Monatshefte fuer Chemie,Sc,Early TM oxide parameters missing
29397,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1955.0,Gazzetta Chimica Italiana,Ce,Lanthanide sulfide parameters missing
31706,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1949.0,Acta Crystallographica,Ce,Lanthanide sulfide parameters missing
102279,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1978.0,Conference Series - Institute of Physics,Ce,Lanthanide sulfide parameters missing
102280,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1986.0,Journal of Physics C: Solid State Physics,Ce,Lanthanide sulfide parameters missing
197641,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1978.0,Conference Series - Institute of Physics,Ce,Lanthanide sulfide parameters missing
603041,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1993.0,"Physica B: Condensed Matter (Amsterdam, Netherlands)",Ce,Lanthanide sulfide parameters missing
603087,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1993.0,"Physica B: Condensed Matter (Amsterdam, Netherlands)",Ce,Lanthanide sulfide parameters missing
622009,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1962.0,Bulletin de la Societe Chimique de France,Ce,Lanthanide sulfide parameters missing
622010,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1969.0,Bulletin de la Societe Chimique de France,Ce,Lanthanide sulfide parameters missing
622013,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1971.0,Bulletin de la Societe Chimique de France,Ce,Lanthanide sulfide parameters missing
622016,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,,,Ce,Lanthanide sulfide parameters missing
622029,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1985.0,Journal of Magnetism and Magnetic Materials,Ce,Lanthanide sulfide parameters missing
622033,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1963.0,Physics of Metals and Metallography,Ce,Lanthanide sulfide parameters missing
622035,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1980.0,Physica Status Solidi A: Applied Research,Ce,Lanthanide sulfide parameters missing
622036,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1983.0,Physica Status Solidi A: Applied Research,Ce,Lanthanide sulfide parameters missing
622039,Ce1 S1,Ce1 S1,F m -3 m,Sulfide,1964.0,Soviet Physics - Crystallography,Ce,Lanthanide sulfide parameters missing
57239,Dy1 S1,Dy1 S1,F m -3 m,Sulfide,1980.0,"Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy",Dy,Lanthanide sulfide parameters missing
630186,Dy1 S1,Dy1 S1,F m -3 m,Sulfide,,,Dy,Lanthanide sulfide parameters missing
630204,Dy1 S1,Dy1 S1,F m -3 m,Sulfide,1974.0,"Proceedings of the Rare Earth Research Conference, 1974, 11th",Dy,Lanthanide sulfide parameters missing
53628,Gd0.94 S1,Gd0.94 S1,F m -3 m,Sulfide,1976.0,Journal of Magnetism and Magnetic Materials,Gd,Lanthanide sulfide parameters missing
291733,Gd0.94 S1,Gd0.94 S1,F m -3 m,Sulfide,1975.0,Journal of Physics and Chemistry of Solids,Gd,Lanthanide sulfide parameters missing
636324,Gd1 S0.89,Gd1 S0.89,F m -3 m,Sulfide,1975.0,Journal of Physics and Chemistry of Solids,Gd,Lanthanide sulfide parameters missing
636329,Gd1 S0.89,Gd1 S0.89,F m -3 m,Sulfide,1983.0,Physica Status Solidi A: Applied Research,Gd,Lanthanide sulfide parameters missing
291731,Gd1 S0.94,Gd1 S0.94,F m -3 m,Sulfide,1975.0,Journal of Physics and Chemistry of Solids,Gd,Lanthanide sulfide parameters missing
291732,Gd1 S0.97,Gd1 S0.97,F m -3 m,Sulfide,1975.0,Journal of Physics and Chemistry of Solids,Gd,Lanthanide sulfide parameters missing
104130,Gd1 S1,Gd1 S1,F m -3 m,Sulfide,1983.0,Physica Status Solidi A: Applied Research,Gd,Lanthanide sulfide parameters missing
636310,Gd1 S1,Gd1 S1,F m -3 m,Sulfide,,,Gd,Lanthanide sulfide parameters missing
636312,Gd1 S1,Gd1 S1,F m -3 m,Sulfide,1962.0,Bulletin de la Societe Chimique de France,Gd,Lanthanide sulfide parameters missing
636313,Gd1 S1,Gd1 S1,F m -3 m,Sulfide,1969.0,Bulletin de la Societe Chimique de France,Gd,Lanthanide sulfide parameters missing
636315,Gd1 S1,Gd1 S1,F m -3 m,Sulfide,,,Gd,Lanthanide sulfide parameters missing
636321,Gd1 S1,Gd1 S1,F m -3 m,Sulfide,1968.0,Journal of the Less-Common Metals,Gd,Lanthanide sulfide parameters missing
636335,Gd1 S1,Gd1 S1,F m -3 m,Sulfide,1974.0,"Proceedings of the Rare Earth Research Conference, 1974, 11th",Gd,Lanthanide sulfide parameters missing
636336,Gd1 S1,Gd1 S1,F m -3 m,Sulfide,1974.0,"Proceedings of the Rare Earth Research Conference, 1974, 11th",Gd,Lanthanide sulfide parameters missing
43546,Ho1 S1,Ho1 S1,F m -3 m,Sulfide,,,Ho,Lanthanide sulfide parameters missing
639661,Ho1 S1,Ho1 S1,F m -3 m,Sulfide,,,Ho,Lanthanide sulfide parameters missing
639662,Ho1 S1,Ho1 S1,F m -3 m,Sulfide,1982.0,Rare Earths in Modern Science and Technology,Ho,Lanthanide sulfide parameters missing
641827,La1 S0.9,La1 S0.9,F m -3 m,Sulfide,1983.0,Physica Status Solidi A: Applied Research,La,Lanthanide sulfide parameters missing
29394,La1 S1,La1 S1,F m -3 m,Sulfide,1955.0,Gazzetta Chimica Italiana,La,Lanthanide sulfide parameters missing
44710,La1 S1,La1 S1,F m -3 m,Sulfide,1986.0,Physical Review B: Condensed Matter and Materials Physics,La,Lanthanide sulfide parameters missing
120093,La1 S1,La1 S1,F m -3 m,Sulfide,2007.0,Physical Review B: Condensed Matter and Materials Physics,La,Lanthanide sulfide parameters missing
291730,La1 S1,La1 S1,F m -3 m,Sulfide,1975.0,Journal of Physics and Chemistry of Solids,La,Lanthanide sulfide parameters missing
641799,La1 S1,La1 S1,F m -3 m,Sulfide,1962.0,Bulletin de la Societe Chimique de France,La,Lanthanide sulfide parameters missing
641804,La1 S1,La1 S1,F m -3 m,Sulfide,,,La,Lanthanide sulfide parameters missing
641810,La1 S1,La1 S1,F m -3 m,Sulfide,1970.0,High Temperature Science,La,Lanthanide sulfide parameters missing
641811,La1 S1,La1 S1,F m -3 m,Sulfide,1966.0,Inorganic Materials,La,Lanthanide sulfide parameters missing
641813,La1 S1,La1 S1,F m -3 m,Sulfide,1978.0,"Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy",La,Lanthanide sulfide parameters missing
641816,La1 S1,La1 S1,F m -3 m,Sulfide,1985.0,Journal of Magnetism and Magnetic Materials,La,Lanthanide sulfide parameters missing
641817,La1 S1,La1 S1,F m -3 m,Sulfide,1975.0,Journal of Physics and Chemistry of Solids,La,Lanthanide sulfide parameters missing
641824,La1 S1,La1 S1,F m -3 m,Sulfide,1963.0,Physics of Metals and Metallography,La,Lanthanide sulfide parameters missing
641832,La1 S1,La1 S1,F m -3 m,Sulfide,1964.0,Soviet Physics - Crystallography,La,Lanthanide sulfide parameters missing
44917,Lu1 S1,Lu1 S1,F m -3 m,Sulfide,1970.0,Solid State Communications,Lu,Lanthanide sulfide parameters missing
642561,Lu1 S1,Lu1 S1,F m -3 m,Sulfide,,,Lu,Lanthanide sulfide parameters missing
642567,Lu1 S1,Lu1 S1,F m -3 m,Sulfide,1991.0,Inorganic Materials,Lu,Lanthanide sulfide parameters missing
642575,Lu1 S1,Lu1 S1,F m -3 m,Sulfide,1974.0,"Proceedings of the Rare Earth Research Conference, 1974, 11th",Lu,Lanthanide sulfide parameters missing
659893,Lu1 S1.03,Lu1 S1.03,F m -3 m,Sulfide,1978.0,Journal of Solid State Chemistry,Lu,Lanthanide sulfide parameters missing
61626,O0.95 Sc1,O0.95 Sc1,F m -3 m,Sulfide,1967.0,Monatshefte fuer Chemie,Sc,Early TM oxide parameters missing
29400,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1955.0,Gazzetta Chimica Italiana,Pr,Lanthanide sulfide parameters missing
77930,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1983.0,Physica Status Solidi A: Applied Research,Pr,Lanthanide sulfide parameters missing
600633,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1984.0,Inorganic Materials,Pr,Lanthanide sulfide parameters missing
649248,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1962.0,Bulletin de la Societe Chimique de France,Pr,Lanthanide sulfide parameters missing
649252,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,,,Pr,Lanthanide sulfide parameters missing
649256,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1988.0,Inorganic Materials,Pr,Lanthanide sulfide parameters missing
649257,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1980.0,Journal of Magnetism and Magnetic Materials,Pr,Lanthanide sulfide parameters missing
649263,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1963.0,Physics of Metals and Metallography,Pr,Lanthanide sulfide parameters missing
649266,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1984.0,Physica Status Solidi B: Basic Solid State Physics,Pr,Lanthanide sulfide parameters missing
649270,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1979.0,Russian Journal of Inorganic Chemistry,Pr,Lanthanide sulfide parameters missing
649271,Pr1 S1,Pr1 S1,F m -3 m,Sulfide,1964.0,Soviet Physics - Crystallography,Pr,Lanthanide sulfide parameters missing
22238,S1 Sc1,S1 Sc1,F m -3 m,Sulfide,1964.0,Inorganic Chemistry,Sc,Early TM oxide parameters missing
44971,S1 Sc1,S1 Sc1,F m -3 m,Sulfide,1970.0,Solid State Communications,Sc,Early TM oxide parameters missing
77259,S1 Sc1,S1 Sc1,F m -3 m,Sulfide,2023.0,"Angewandte Chemie, International Edition",Sc,Early TM oxide parameters missing
650837,S1 Sc1,S1 Sc1,F m -3 m,Sulfide,1970.0,High Temperature Science,Sc,Early TM oxide parameters missing
650842,S1 Sc1,S1 Sc1,F m -3 m,Sulfide,1978.0,Journal of the Less-Common Metals,Sc,Early TM oxide parameters missing
43592,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1961.0,Ceramic Age,Sm,Lanthanide sulfide parameters missing
44130,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1956.0,Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE),Sm,Lanthanide sulfide parameters missing
52100,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1984.0,Zhurnal Neorganicheskoi Khimii,Sm,Lanthanide sulfide parameters missing
603121,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1993.0,Soviet Physics - Solid State,Sm,Lanthanide sulfide parameters missing
650912,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,,,Sm,Lanthanide sulfide parameters missing
650916,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1972.0,Inorganic Materials,Sm,Lanthanide sulfide parameters missing
650917,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1978.0,Inorganic Materials,Sm,Lanthanide sulfide parameters missing
650934,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1972.0,Physical Review  B: Solid State,Sm,Lanthanide sulfide parameters missing
650935,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1975.0,Physical Review  B: Solid State,Sm,Lanthanide sulfide parameters missing
650936,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1978.0,Physical Review  B: Solid State,Sm,Lanthanide sulfide parameters missing
650937,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1988.0,Physica Status Solidi A: Applied Research,Sm,Lanthanide sulfide parameters missing
650938,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1980.0,Rare Earths in Modern Science and Technology,Sm,Lanthanide sulfide parameters missing
650941,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1973.0,Revue de Chimie Minerale,Sm,Lanthanide sulfide parameters missing
650942,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1985.0,Soviet Physics - Solid State,Sm,Lanthanide sulfide parameters missing
650944,S1 Sm1,S1 Sm1,F m -3 m,Sulfide,1979.0,Solid State Communications,Sm,Lanthanide sulfide parameters missing
