Formula,ICSD Code,n (total),n (failed),Year,Mean Deviation (%),GII,Compound Class
Ba1 O1,26961,5,5,1922.0,-19.78,0.1978,Oxide
Ba1 O1,52278,5,5,1933.0,-21.44,0.2144,Oxide
Ba1 O1,58663,5,5,1972.0,-21.92,0.2192,Oxide
Ba1 O1,616004,5,5,1955.0,-21.93,0.2193,Oxide
Ba1 O1,616005,5,5,1984.0,-21.93,0.2193,Oxide
Br1 Li1,27982,3,3,1923.0,-16.57,0.1657,Bromide
Br1 Li1,52236,3,3,1936.0,-17.25,0.1725,Bromide
Br1 Li1,53819,3,3,1922.0,-16.57,0.1657,Bromide
Ca1 O1,14922,15,15,2020.0,-11.18,0.1118,Oxide
Ca1 O1,26959,15,15,1922.0,-7.68,0.0768,Oxide
Ca1 O1,28905,15,15,1948.0,-10.02,0.1002,Oxide
Ca1 O1,51409,15,15,2001.0,-11.78,0.1178,Oxide
Ca1 O1,52783,15,15,1968.0,-11.35,0.1135,Oxide
Ca1 O1,60199,15,15,1927.0,-11.44,0.1144,Oxide
Ca1 O1,60704,15,15,1945.0,-11.0,0.11,Oxide
Ca1 O1,61550,15,15,1929.0,-11.76,0.1176,Oxide
Ca1 O1,75785,15,15,,-10.66,0.1066,Oxide
Ca1 O1,90486,15,15,2000.0,-10.9,0.109,Oxide
Ca1 O1,148208,15,15,2023.0,-11.33,0.1133,Oxide
Ca1 O1,163628,15,15,2009.0,-11.3,0.113,Oxide
Ca1 O1,197982,15,15,1984.0,-11.35,0.1135,Oxide
Ca1 O1,198080,15,15,,-11.44,0.1144,Oxide
Ca1 O1,261847,15,15,2011.0,-11.99,0.1199,Oxide
Ca1 S1,53940,17,1,1923.0,13.08,0.1308,Sulfide
Cd1 O1,24802,17,17,1928.0,-11.0,0.11,Oxide
Cd1 O1,29289,17,17,1960.0,-10.56,0.1056,Oxide
Cd1 O1,29290,17,17,1960.0,-10.56,0.1056,Oxide
Cd1 O1,29291,17,17,1960.0,-10.67,0.1067,Oxide
Cd1 O1,29292,17,17,1960.0,-10.69,0.1069,Oxide
Cd1 O1,31055,17,17,1922.0,-14.15,0.1415,Oxide
Cd1 O1,61554,17,17,1929.0,-13.65,0.1365,Oxide
Cd1 O1,181294,17,17,2011.0,-9.43,0.0943,Oxide
Cd1 O1,181735,17,17,2011.0,-11.1,0.111,Oxide
Cd1 O1,197688,17,17,1953.0,-10.61,0.1061,Oxide
Cd1 O1,259401,17,17,2015.0,-11.08,0.1108,Oxide
Cd1 O1,259402,17,17,2015.0,-9.21,0.0921,Oxide
Cd1 O1,259403,17,17,2015.0,-9.82,0.0982,Oxide
Cd1 O1,259409,17,17,2016.0,-11.55,0.1155,Oxide
Cd1 O1,620202,17,17,,-9.35,0.0935,Oxide
Cd1 O1,620205,17,17,1984.0,-10.61,0.1061,Oxide
Cd1 O1,620206,17,17,1971.0,-10.59,0.1059,Oxide
Cd1 S1,620322,3,1,1968.0,-33.24,0.3324,Sulfide
Cl1 Rb1,199934,9,1,1961.0,303.72,3.0372,Chloride
Er1 S1,53414,4,4,1974.0,83.19,0.8319,Sulfide
Er1 S1,106619,4,4,1978.0,74.26,0.7426,Sulfide
Er1 S1,631056,4,4,,76.63,0.7663,Sulfide
Er1 S1,631063,4,4,,79.03,0.7903,Sulfide
Eu1 O1,53437,12,12,1963.0,-16.72,0.1672,Oxide
Eu1 O1,148688,12,12,2023.0,-17.06,0.1706,Oxide
Eu1 O1,148690,12,12,2023.0,-17.06,0.1706,Oxide
Eu1 O1,148692,12,12,2023.0,-17.4,0.174,Oxide
Eu1 O1,148694,12,12,2023.0,-16.77,0.1677,Oxide
Eu1 O1,148696,12,12,2023.0,-16.49,0.1649,Oxide
Eu1 O1,176176,12,12,2024.0,-16.39,0.1639,Oxide
Eu1 O1,176179,12,12,2024.0,-16.39,0.1639,Oxide
Eu1 O1,631456,12,12,1956.0,-16.89,0.1689,Oxide
Eu1 O1,631458,12,12,1966.0,-16.98,0.1698,Oxide
Eu1 O1,631466,12,12,1984.0,-16.72,0.1672,Oxide
