ICSD Code,Formula,Chemical Formula,Space Group,Compound Class,Year,Mean Deviation (%),Mean |d1| (v.u.),GII,Disorder Type,Review Reason
60283,Ag0.3 Cl1 Na0.7,Ag0.3 Cl1 Na0.7,F m -3 m,Chloride,1970.0,-14.98,0.1498,0.075,homovalent,Homovalent solid solution
22170,Br0.4 Cl0.6 Rb1,Br0.4 Cl0.6 Rb1,F m -3 m,Chloride,1969.0,-10.85,0.1085,0.1085,pure,Borderline deviation (10-15%)
119597,Br0.5 Cl0.5 K1,Br0.5 Cl0.5 K1,F m -3 m,Chloride,1966.0,-11.0,0.11,0.11,pure,Borderline deviation (10-15%)
61670,Br0.7922 Cl0.2078 Na1,Br0.7922 Cl0.2078 Na1,F m -3 m,Chloride,1949.0,10.5,0.105,0.105,pure,Borderline deviation (10-15%)
187221,Br0.8 Cl0.2 K1,Br0.8 Cl0.2 K1,F m -3 m,Chloride,2012.0,12.77,0.1277,0.1277,pure,Borderline deviation (10-15%)
28947,Cl1 K0.0997 Na0.9003,Cl1 K0.0997 Na0.9003,F m -3 m,Chloride,1954.0,-11.42,0.1142,0.7578,homovalent,Homovalent solid solution
240594,Cl1 K0.1 Na0.9,Cl1 K0.1 Na0.9,F m -3 m,Chloride,2004.0,-11.26,0.1126,0.7591,homovalent,Homovalent solid solution
28695,Cl1 K0.92 Tl0.08,Cl1 K0.92 Tl0.08,F m -3 m,Chloride,1955.0,14.15,0.1415,0.2083,homovalent,Homovalent solid solution
18014,Cl1 K1,Cl1 K1,F m -3 m,Chloride,1926.0,10.5,0.105,0.105,pure,Borderline deviation (10-15%)
22156,Cl1 K1,Cl1 K1,F m -3 m,Chloride,1969.0,12.19,0.1219,0.1219,pure,Borderline deviation (10-15%)
28938,Cl1 K1,Cl1 K1,F m -3 m,Chloride,1954.0,10.26,0.1026,0.1026,pure,Borderline deviation (10-15%)
53825,Cl1 K1,Cl1 K1,F m -3 m,Chloride,1919.0,12.01,0.1201,0.1201,pure,Borderline deviation (10-15%)
53841,Cl1 K1,Cl1 K1,F m -3 m,Chloride,1916.0,13.22,0.1322,0.1322,pure,Borderline deviation (10-15%)
126365,Cl1 K1,Cl1 K1,F m -3 m,Chloride,1953.0,10.06,0.1006,0.1006,pure,Borderline deviation (10-15%)
165593,Cl1 K1,Cl1 K1,F m -3 m,Chloride,2006.0,11.27,0.1127,0.1127,pure,Borderline deviation (10-15%)
240502,Cl1 K1,Cl1 K1,F m -3 m,Chloride,2004.0,10.82,0.1082,0.1082,pure,Borderline deviation (10-15%)
18016,Cl1 Rb1,Cl1 Rb1,F m -3 m,Chloride,1926.0,11.7,0.117,0.117,pure,Borderline deviation (10-15%)
29128,F1 Na1,F1 Na1,F m -3 m,Fluoride,1920.0,-12.65,0.1265,0.1265,pure,Borderline deviation (10-15%)
9865,Co1 O1,Co1 O1,F m -3 m,Oxide,1979.0,-5.29,0.1057,0.0529,pure,Borderline deviation (10-15%)
61326,Co1 O1,Co1 O1,F m -3 m,Oxide,1968.0,-5.16,0.1032,0.0516,pure,Borderline deviation (10-15%)
191776,Co1 O1,Co1 O1,F m -3 m,Oxide,2001.0,-5.0,0.1001,0.05,pure,Borderline deviation (10-15%)
245320,Co1 O1,Co1 O1,F m -3 m,Oxide,2006.0,-6.29,0.1258,0.0629,pure,Borderline deviation (10-15%)
245321,Co1 O1,Co1 O1,F m -3 m,Oxide,2006.0,-6.54,0.1308,0.0654,pure,Borderline deviation (10-15%)
245322,Co1 O1,Co1 O1,F m -3 m,Oxide,2006.0,-5.41,0.1082,0.0541,pure,Borderline deviation (10-15%)
245324,Co1 O1,Co1 O1,F m -3 m,Oxide,2006.0,-5.41,0.1082,0.0541,pure,Borderline deviation (10-15%)
61545,Cu0.05 Ni0.95 O1,Cu0.05 Ni0.95 O1,F m -3 m,Oxide,1964.0,-5.39,0.1078,0.0442,homovalent,Homovalent solid solution
61546,Cu0.1 Ni0.9 O1,Cu0.1 Ni0.9 O1,F m -3 m,Oxide,1964.0,-5.76,0.1152,0.0478,homovalent,Homovalent solid solution
61547,Cu0.15 Ni0.85 O1,Cu0.15 Ni0.85 O1,F m -3 m,Oxide,1964.0,-6.22,0.1244,0.0524,homovalent,Homovalent solid solution
61548,Cu0.2 Ni0.8 O1,Cu0.2 Ni0.8 O1,F m -3 m,Oxide,1964.0,-6.64,0.1327,0.0566,homovalent,Homovalent solid solution
61549,Cu0.25 Ni0.75 O1,Cu0.25 Ni0.75 O1,F m -3 m,Oxide,1964.0,-6.115,0.12240000000000001,0.0612,homovalent,Homovalent solid solution
60686,Fe0.664 Mn0.336 O1,Fe0.664 Mn0.336 O1,F m -3 m,Oxide,1945.0,-6.68,0.1337,0.0556,homovalent,Homovalent solid solution
